"","comb08","cylinders","displ","drive","year","Class","trans"
"280",14,8,5.7,"Rear-Wheel Drive",1993,"Truck","Manual 5 Speed"
"281",13,8,5.7,"Rear-Wheel Drive",1993,"Truck","Manual 5 Speed"
"282",22,4,2.5,"Rear-Wheel Drive",1993,"Truck","Manual 5 Speed"
"283",16,6,3.9,"Rear-Wheel Drive",1993,"Truck","Automatic 4 Speed"
"284",16,6,3.9,"Rear-Wheel Drive",1993,"Truck","Manual 5 Speed"
"285",14,8,5.2,"Rear-Wheel Drive",1993,"Truck","Automatic 4 Speed"
"286",15,6,3.9,"Rear-Wheel Drive",1993,"Truck","Automatic 3 Speed"
"287",15,6,3.9,"Rear-Wheel Drive",1993,"Truck","Automatic 4 Speed"
"288",16,6,4.3,"Rear-Wheel Drive",1985,"Van","Manual 4 Speed"
"289",15,6,3.9,"Rear-Wheel Drive",1993,"Truck","Manual 5 Speed"
"290",13,8,5.2,"Rear-Wheel Drive",1993,"Truck","Automatic 4 Speed"
"291",13,8,5.2,"Rear-Wheel Drive",1993,"Truck","Manual 5 Speed"
"292",13,8,5.9,"Rear-Wheel Drive",1993,"Truck","Automatic 4 Speed"
"293",12,8,5.9,"Rear-Wheel Drive",1993,"Truck","Manual 5 Speed"
"294",14,6,3.9,"Rear-Wheel Drive",1993,"Truck","Automatic 3 Speed"
"295",13,6,3.9,"Rear-Wheel Drive",1993,"Truck","Manual 5 Speed"
"296",13,8,5.2,"Rear-Wheel Drive",1993,"Truck","Automatic 4 Speed"
"297",13,8,5.2,"Rear-Wheel Drive",1993,"Truck","Manual 5 Speed"
"298",13,8,5.9,"Rear-Wheel Drive",1993,"Truck","Automatic 4 Speed"
"299",17,6,4.3,"Rear-Wheel Drive",1985,"Van","Manual 5 Speed"
"300",12,8,5.9,"Rear-Wheel Drive",1993,"Truck","Manual 5 Speed"
"301",19,4,2.5,"4-Wheel or All-Wheel Drive",1993,"Truck","Manual 4 Speed"
"302",18,4,2.5,"4-Wheel or All-Wheel Drive",1993,"Truck","Manual 5 Speed"
"303",15,6,4,"4-Wheel or All-Wheel Drive",1993,"Truck","Automatic 4 Speed"
"304",16,6,4,"4-Wheel or All-Wheel Drive",1993,"Truck","Manual 5 Speed"
"305",15,6,4.9,"Rear-Wheel Drive",1993,"Truck","Automatic 4 Speed"
"306",15,6,4.9,"Rear-Wheel Drive",1993,"Truck","Manual 4 Speed"
"307",15,6,4.9,"Rear-Wheel Drive",1993,"Truck","Manual 5 Speed"
"308",15,8,5,"Rear-Wheel Drive",1993,"Truck","Automatic 4 Speed"
"309",15,8,5,"Rear-Wheel Drive",1993,"Truck","Automatic 4 Speed"
"310",20,4,2,"Rear-Wheel Drive",1985,"Van","Automatic 4 Speed"
"311",14,8,5,"Rear-Wheel Drive",1993,"Truck","Manual 4 Speed"
"312",15,8,5,"Rear-Wheel Drive",1993,"Truck","Manual 5 Speed"
"313",13,8,5.8,"Rear-Wheel Drive",1993,"Truck","Automatic 4 Speed"
"314",15,6,4.9,"Rear-Wheel Drive",1993,"Truck","Automatic 4 Speed"
"315",15,6,4.9,"Rear-Wheel Drive",1993,"Truck","Manual 4 Speed"
"316",15,6,4.9,"Rear-Wheel Drive",1993,"Truck","Manual 5 Speed"
"317",14,8,5,"Rear-Wheel Drive",1993,"Truck","Automatic 4 Speed"
"318",14,8,5,"Rear-Wheel Drive",1993,"Truck","Manual 4 Speed"
"319",15,8,5,"Rear-Wheel Drive",1993,"Truck","Manual 5 Speed"
"320",12,8,5.8,"Rear-Wheel Drive",1993,"Truck","Automatic 4 Speed"
